method,budget_bpw,layer,invocations,mean,p10,median,p90
rrq_raw_heterogeneous_fp32_scales_upper,2.0,20,24,0.672482875486215,0.5472792029380799,0.6925892531871796,0.7804025828838348
rrq_raw_heterogeneous_fp32_scales_upper,2.0,39,34,0.6811800721813651,0.5867457568645478,0.6788797378540039,0.7831501543521882
rrq_raw_heterogeneous_fp32_scales_upper,2.25,0,41,0.6987966211830697,0.5859612822532654,0.681678056716919,0.8354178667068481
rrq_raw_heterogeneous_fp32_scales_upper,2.25,4,34,0.6737840403528774,0.58748779296875,0.6720523536205292,0.7639556646347045
rrq_raw_heterogeneous_fp32_scales_upper,2.25,20,24,0.672482875486215,0.5472792029380799,0.6925892531871796,0.7804025828838348
rrq_raw_heterogeneous_fp32_scales_upper,2.25,39,34,0.6811800721813651,0.5867457568645478,0.6788797378540039,0.7831501543521882
rrq_raw_heterogeneous_fp32_scales_upper,3.0,0,41,0.8499653644678069,0.7604702711105347,0.8539559841156006,0.9340956211090088
rrq_raw_heterogeneous_fp32_scales_upper,3.0,4,34,0.8681968590792488,0.8050327241420746,0.8735823929309845,0.9251937508583069
rrq_raw_heterogeneous_fp32_scales_upper,3.0,20,24,0.884961448609829,0.8038882434368133,0.9032863974571228,0.949587368965149
rrq_raw_heterogeneous_fp32_scales_upper,3.0,39,34,0.8379086396273445,0.7719077944755555,0.8459352254867554,0.9030432105064392
rrq_raw_heterogeneous_fp32_scales_upper,4.0,0,41,0.9262723631975127,0.8788415193557739,0.935052752494812,0.9627631306648254
rrq_raw_heterogeneous_fp32_scales_upper,4.0,4,34,0.9248677018810721,0.8837492048740387,0.931726485490799,0.9539890766143799
rrq_raw_heterogeneous_fp32_scales_upper,4.0,20,24,0.9321115066607794,0.8966109156608582,0.9397206008434296,0.9654936075210572
rrq_raw_heterogeneous_fp32_scales_upper,4.0,39,34,0.916993556653752,0.891970032453537,0.9157009124755859,0.950828093290329
rrq_raw_heterogeneous_weight_only_down,0.75,0,41,0.20959864883888057,0.037286996841430664,0.20902365446090698,0.3490191698074341
rrq_raw_heterogeneous_weight_only_down,0.75,4,34,0.2731899093179142,0.009950751066207894,0.2956556975841522,0.5216926991939544
rrq_raw_heterogeneous_weight_only_down,0.75,20,24,0.31615761170784634,0.15276708602905273,0.34248507022857666,0.464558082818985
rrq_raw_heterogeneous_weight_only_down,0.75,39,34,0.222765854176353,0.0,0.22020459175109863,0.4557952523231506
rrq_raw_heterogeneous_weight_only_down,1.0,0,41,0.46525852854658917,0.3655228018760681,0.42187100648880005,0.6801797747612
rrq_raw_heterogeneous_weight_only_down,1.0,4,34,0.4179228474112118,0.3308162331581116,0.40333208441734314,0.5416396021842956
rrq_raw_heterogeneous_weight_only_down,1.0,20,24,0.422255960603555,0.3059798896312714,0.39831846952438354,0.5421113252639771
rrq_raw_heterogeneous_weight_only_down,1.0,39,34,0.4361311004442327,0.31635321378707887,0.4408099055290222,0.5434530436992645
rrq_raw_heterogeneous_weight_only_down,1.25,0,41,0.46525852854658917,0.3655228018760681,0.42187100648880005,0.6801797747612
rrq_raw_heterogeneous_weight_only_down,1.25,4,34,0.4179228474112118,0.3308162331581116,0.40333208441734314,0.5416396021842956
rrq_raw_heterogeneous_weight_only_down,1.25,20,24,0.422255960603555,0.3059798896312714,0.39831846952438354,0.5421113252639771
rrq_raw_heterogeneous_weight_only_down,1.25,39,34,0.4361311004442327,0.31635321378707887,0.4408099055290222,0.5434530436992645
rrq_raw_heterogeneous_weight_only_down,1.5,0,41,0.46525852854658917,0.3655228018760681,0.42187100648880005,0.6801797747612
rrq_raw_heterogeneous_weight_only_down,1.5,4,34,0.4179228474112118,0.3308162331581116,0.40333208441734314,0.5416396021842956
rrq_raw_heterogeneous_weight_only_down,1.5,20,24,0.422255960603555,0.3059798896312714,0.39831846952438354,0.5421113252639771
rrq_raw_heterogeneous_weight_only_down,1.5,39,34,0.4361311004442327,0.31635321378707887,0.4408099055290222,0.5434530436992645
rrq_raw_heterogeneous_weight_only_down,2.0,0,41,0.7061295538413815,0.6239023208618164,0.6792686581611633,0.8281735777854919
rrq_raw_heterogeneous_weight_only_down,2.0,4,34,0.6798203675185933,0.5823147892951965,0.678227961063385,0.7791934967041015
rrq_raw_heterogeneous_weight_only_down,2.0,20,24,0.6776474267244339,0.5669010281562805,0.6976138353347778,0.7815178871154785
rrq_raw_heterogeneous_weight_only_down,2.0,39,34,0.676944390815847,0.5648441314697266,0.6940927505493164,0.7589846253395081
rrq_raw_heterogeneous_weight_only_down,2.25,0,41,0.7061295538413815,0.6239023208618164,0.6792686581611633,0.8281735777854919
rrq_raw_heterogeneous_weight_only_down,2.25,4,34,0.6798203675185933,0.5823147892951965,0.678227961063385,0.7791934967041015
rrq_raw_heterogeneous_weight_only_down,2.25,20,24,0.6776474267244339,0.5669010281562805,0.6976138353347778,0.7815178871154785
rrq_raw_heterogeneous_weight_only_down,2.25,39,34,0.676944390815847,0.5648441314697266,0.6940927505493164,0.7589846253395081
