factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,0,3,32,577.03125,576.0,461.7,729.0,0.9990530892148322,0.9963997137752866
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,0,4,32,562.84375,569.5,480.2,650.3000000000001,0.9988800299980689,0.9978445705853239
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,0,5,32,562.53125,576.0,440.8,725.3000000000001,0.9986752821079641,0.9971618115128267
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,0,6,32,591.125,576.0,449.1,797.6000000000001,0.9992128594856159,0.9973355026090042
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,0,7,32,563.625,561.0,396.5,729.0,0.9991320716709402,0.9959075274666517
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,0,8,32,569.1875,540.5,422.5,767.1,0.9989471784546348,0.9962507111573088
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,4,1,32,593.71875,576.0,535.6,681.9,0.9883974787096423,0.9727806384092179
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,4,2,32,596.6875,576.0,521.9,690.4,0.9881190097336299,0.9686876605811634
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,4,3,32,588.375,576.0,522.8,666.9,0.985145916781375,0.9727586315837642
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,4,4,32,573.4375,576.0,498.5,648.7,0.9875674785611077,0.9705301884781594
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,4,5,32,590.9375,576.0,564.2,666.6000000000001,0.9846933257126502,0.9704275556734955
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,4,6,32,557.03125,576.0,455.0,634.8,0.9856578793875684,0.9625236626928655
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,4,7,32,562.34375,576.0,497.1,625.8000000000001,0.977402561860417,0.9667731714856498
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,4,8,32,540.75,561.0,472.1,579.6,0.9781692351974709,0.9674080663308633
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,20,1,32,568.03125,609.0,212.3,727.3000000000001,0.9850060388202362,0.9640682798636576
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,20,2,32,503.03125,563.0,261.6,659.9000000000001,0.983471198604047,0.9369809206141335
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,20,3,32,560.25,576.0,329.4,723.9000000000001,0.9867258228107869,0.9681481932646422
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,20,4,32,602.84375,593.0,544.2,724.2,0.9855342737411656,0.963262949474195
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,20,5,32,602.46875,582.0,519.0,709.9,0.9833699055661412,0.9717491562472103
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,20,6,32,588.0,584.0,461.9,727.6,0.9834370102606884,0.9686161266599879
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,20,7,32,583.09375,576.0,505.6,675.4000000000001,0.9825361460800532,0.9627849129546493
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,20,8,32,596.46875,576.0,502.8,743.0000000000001,0.9795136745775046,0.9646626289558564
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,39,1,32,569.5625,576.0,384.3,705.8,0.9946908535676388,0.9594775829695896
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,39,2,32,594.34375,579.0,480.2,729.0,0.9932195867116741,0.9850361544338971
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,39,3,32,597.75,576.0,470.4,745.3000000000001,0.9908335745040138,0.9786174094253214
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,39,4,32,614.15625,613.5,496.5,729.0,0.98960160142964,0.9782057564689404
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,39,5,32,564.84375,576.0,475.0,655.3000000000001,0.9855934028468375,0.9702200223708288
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,39,6,32,575.53125,593.5,457.3,659.9,0.9855706014367823,0.9672898552144793
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,39,7,32,563.375,576.0,425.3,725.3000000000001,0.98456956594856,0.9699526626846295
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,39,8,32,524.8125,524.0,388.4,629.1000000000001,0.9811091100294664,0.9537770150864584
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,0,1,32,734.71875,726.0,524.0,965.0000000000001,0.9999759344172072,0.9997963518006221
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,0,2,32,780.34375,733.0,550.7,1095.0,0.9999705542355929,0.9998154843779227
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,0,3,32,756.125,760.0,609.1,923.7,0.9999627054428435,0.9995368927669311
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,0,4,32,732.90625,742.0,604.1,906.3000000000001,0.9999540261614862,0.9998155431179581
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,0,5,32,728.9375,714.0,576.0,952.0,0.9999289053701854,0.9996302319378519
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,0,6,32,762.25,758.5,574.2,956.0,0.9999560626161041,0.9998081327824839
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,0,7,32,745.96875,729.0,547.0,974.3000000000002,0.9999344747977954,0.9996221171427874
