layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q3_ideal_logical_256_byte_plane_ceiling,1532,234.7978515625,164.3740234375,292.208984375,188.783203125,325.658203125,1531.48046875
q3_ideal_logical_256_byte_plane_ceiling,1536,235.3935546875,165.0419921875,292.8203125,189.662109375,326.2900390625,1535.498046875
q3_ideal_logical_256_byte_plane_ceiling,1568,240.3681640625,170.2138671875,297.892578125,195.857421875,331.544921875,1567.421875
q3_ideal_logical_256_byte_plane_ceiling,1600,245.373046875,175.7099609375,302.810546875,202.3388671875,336.533203125,1599.298828125
q3_ideal_logical_256_byte_plane_ceiling,1632,250.298828125,181.0576171875,307.947265625,208.7958984375,341.4697265625,1631.0390625
q3_ideal_logical_256_byte_plane_ceiling,1664,255.3408203125,186.7314453125,312.927734375,215.26171875,346.294921875,1662.8515625
q3_physical_fixed_gate_up_pairing,384,50.8251953125,46.923828125,62.255859375,56.4033203125,80.0126953125,383.576171875
q3_physical_fixed_gate_up_pairing,416,54.435546875,50.2919921875,67.470703125,60.8388671875,86.8115234375,415.56640625
q3_physical_fixed_gate_up_pairing,448,58.2724609375,53.58984375,72.65625,65.072265625,93.583984375,447.6328125
q3_physical_fixed_gate_up_pairing,480,62.0048828125,56.5517578125,77.953125,69.07421875,100.3671875,479.68359375
q3_physical_fixed_gate_up_pairing,512,65.724609375,59.1962890625,83.1796875,72.2060546875,107.1904296875,511.71484375
q3_physical_fixed_gate_up_pairing,544,69.4287109375,62.15234375,88.564453125,76.2548828125,113.9697265625,543.765625
q3_physical_fixed_gate_up_pairing,576,73.1533203125,65.0478515625,93.974609375,80.4560546875,120.744140625,575.642578125
q3_physical_fixed_gate_up_pairing,608,77.1806640625,68.2490234375,99.458984375,84.6923828125,127.3369140625,607.724609375
q3_physical_fixed_gate_up_pairing,640,81.134765625,71.4638671875,104.900390625,89.2177734375,133.7978515625,639.62109375
q3_physical_fixed_gate_up_pairing,672,84.9873046875,74.892578125,110.3681640625,94.0673828125,140.5146484375,671.619140625
q3_physical_fixed_gate_up_pairing,704,89.0283203125,78.5634765625,115.890625,98.9580078125,146.982421875,703.607421875
q3_physical_fixed_gate_up_pairing,736,93.013671875,82.228515625,121.3359375,104.0986328125,153.5185546875,735.58984375
q3_physical_fixed_gate_up_pairing,768,96.98046875,85.8232421875,126.8466796875,108.791015625,160.0009765625,767.611328125
q3_physical_fixed_gate_up_pairing,800,101.171875,89.4892578125,132.3544921875,113.6650390625,166.3525390625,799.681640625
q3_physical_fixed_gate_up_pairing,832,105.099609375,92.8193359375,137.8916015625,118.248046875,172.845703125,831.673828125
q3_physical_fixed_gate_up_pairing,864,109.1015625,96.01171875,143.4248046875,122.6474609375,179.333984375,863.720703125
q3_physical_fixed_gate_up_pairing,896,113.056640625,99.0595703125,149.0693359375,126.82421875,185.728515625,895.708984375
q3_physical_fixed_gate_up_pairing,928,117.2177734375,102.404296875,154.54296875,131.025390625,192.0810546875,927.68359375
q3_physical_fixed_gate_up_pairing,960,121.2509765625,105.767578125,159.900390625,135.4501953125,198.6435546875,959.58984375
q3_physical_fixed_gate_up_pairing,992,125.4697265625,109.47265625,165.453125,140.1015625,204.849609375,991.544921875
