candidate,design,split,level,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,mean_damage,median_damage,p90_damage
B16_g32_global_functional_eps_0p05,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p05,B,train,2,258,-0.036892117083931836,0.2973166546006821,0.6409263625401915,0.3802132517099381,0.4669637531042099,0.5571131885051728,0.04924565032124519,5.1693222978867075,0.24780232459306717,18.928039741516123
B16_g32_global_functional_eps_0p05,B,train,3,258,0.5843310316957252,0.7912359588484068,0.88842193178532,0.21478324085474015,0.26274554431438446,0.3119680374860764,0.015038390364497903,1.3461777938488337,0.07293767854571342,4.529202938079837
B16_g32_global_functional_eps_0p05,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p05,B,validation,2,135,-0.20694092750024246,0.22262115144876649,0.6154556812887807,0.4118169367313385,0.4977596402168274,0.57357896566391,0.049263867735862735,7.3187582789057934,0.2758883237838745,20.699726867675786
B16_g32_global_functional_eps_0p05,B,validation,3,135,0.6181325361336211,0.7861246972188891,0.8904311724034332,0.23215505182743074,0.2764016091823578,0.31804717779159547,0.01389821469783783,1.499094067334577,0.07326605170965195,5.187665271759033
B16_g32_global_functional_eps_0p05,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_weight,B,test,2,152,-0.2404238302845932,0.1609000935567832,0.4210729905224247,0.4438381463289261,0.5051476657390594,0.7415553987026214,0.048664034157991407,6.7303196742983635,0.3373338282108307,18.22287521362305
B16_g32_global_weight,B,test,3,152,0.5424828134576659,0.7758255279502497,0.8718932068475719,0.23220969289541243,0.2787913978099823,0.34493373334407806,0.015127416606992483,1.5592512155202904,0.08525747433304787,4.403458881378174
B16_g32_global_weight,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_weight,B,train,2,258,-0.23335942588052727,0.13263095623886617,0.3815242290558106,0.4411337286233902,0.5050813853740692,0.7190233588218689,0.05859154462814332,6.684234082215112,0.3444681912660599,21.594757270812995
B16_g32_global_weight,B,train,3,258,0.5384909742569428,0.7612881268363632,0.8783541451653765,0.22715063989162446,0.2762288302183151,0.3511884570121765,0.017378428392112254,1.5116309585544287,0.09286482259631157,4.241409349441532
B16_g32_global_weight,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_weight,B,validation,2,135,-0.23641372711181297,0.13250132613010757,0.3788418535803688,0.4385666012763977,0.5106585025787354,0.7115111351013186,0.06416156589984894,8.983312458110353,0.3014453947544098,25.102511596679687
B16_g32_global_weight,B,validation,3,135,0.5370456847387315,0.7850379292447668,0.8823851724680922,0.23480241596698762,0.28165069222450256,0.3466337740421295,0.017386997118592262,1.666635410691163,0.08083587884902954,4.813286018371582
B16_g32_global_weight,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_layer_functional,B,test,2,152,-0.09667418951635627,0.2575870088107207,0.5935667320907559,0.4056934803724289,0.4780014306306839,0.5652718484401703,0.03789758421480656,5.713726373867279,0.26454928517341614,18.94535751342774
B16_g32_layer_functional,B,test,3,152,0.5979527702206486,0.7861963972989681,0.8877558513049418,0.22726208716630936,0.2716294080018997,0.3225026041269302,0.013520685490220785,1.4891961212086149,0.077808428555727,5.2541292190551765
B16_g32_layer_functional,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_layer_functional,B,train,2,258,-0.04578480440058971,0.3157308425072903,0.6472862574340617,0.37502684593200686,0.4613298028707504,0.5569258391857147,0.04564455561339855,5.320451484848709,0.2116595059633255,18.385314941406264
B16_g32_layer_functional,B,train,3,258,0.6029283064144705,0.7856920279151816,0.8911871435112341,0.22182533740997315,0.26263777911663055,0.31799323558807374,0.01673766188323498,1.4382516153737932,0.06971405446529388,4.974729824066164
B16_g32_layer_functional,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_layer_functional,B,validation,2,135,-0.17183481719903235,0.27522387274308724,0.592051072588325,0.40936796069145204,0.48477408289909363,0.5547986507415772,0.05108718201518059,7.087485364741749,0.22904175519943237,24.348918151855507
B16_g32_layer_functional,B,validation,3,135,0.5814325043198627,0.7869402314848025,0.8875048707633536,0.2266802579164505,0.2758232653141022,0.3209020376205445,0.013599327951669692,1.5768666169692382,0.07168035209178925,5.318356323242193
B16_g32_layer_functional,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8_g32_layer_functional,C,test,2,152,-0.15743575499939613,0.23685443755161079,0.5698594196931669,0.4185112178325653,0.494816318154335,0.5792779088020324,0.04151945598423481,5.644184969390105,0.2464441955089569,18.156411170959473
C8_g32_layer_functional,C,test,3,152,0.6156046843732988,0.7747012916176164,0.8893452011148442,0.2285538762807846,0.2760707139968872,0.3259079962968826,0.01355734094977379,1.566361794438164,0.08016539737582207,5.402985715866092
C8_g32_layer_functional,C,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8_g32_layer_functional,C,train,2,258,-0.15938898879525804,0.26411316994008266,0.6424610301177289,0.38133575916290285,0.47213517129421234,0.5744383871555329,0.050397010520100594,5.595849830794415,0.22205448150634766,20.61132698059082
