candidate,design,objective,sharing,projection,split,level,count,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,median_damage,p90_damage,summed_damage,median_own_recovery
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,gate,train,3,258,0.04163200967013836,0.11796366423368454,0.1565488398075104,0.45747948288917545,3.102473020553589,11.84220495223999,1417.351156592369,0.7104454040527344
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,gate,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,gate,validation,2,135,0.10965906828641891,0.2233360856771469,0.2780409336090088,1.5468945741653441,9.196990966796875,71.57225646972658,3663.816479444504,0.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,gate,validation,3,135,0.04287096858024597,0.12063046544790268,0.15402585864067078,0.4407594323158264,2.8502554893493652,11.98036231994629,761.1512606143951,0.725044846534729
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,gate,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,up,test,2,152,0.16568800806999207,0.28583139181137085,0.36399418115615845,1.353264367580414,9.056682586669922,33.320528793334965,2078.742820382118,0.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,up,test,3,152,0.08350318446755409,0.15715201944112778,0.20327620506286623,0.43676453828811646,2.8611390590667725,9.90202283859253,596.5004317164421,0.6995942294597626
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,up,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,up,train,2,258,0.165392005443573,0.2823769748210907,0.35994396805763246,1.3462117195129395,8.966826915740967,34.819139099121095,3516.5504308342934,0.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,up,train,3,258,0.08375796675682068,0.15556496381759644,0.20048526674509048,0.435726261138916,2.828726291656494,9.342768573760987,995.3281887769699,0.7020712494850159
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,up,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,up,validation,2,135,0.1604255646467209,0.2952451705932617,0.3691492915153504,1.2980009078979493,8.86203384399414,39.33683776855469,2019.0104355812073,0.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,up,validation,3,135,0.07901445478200912,0.1591666042804718,0.20136264264583587,0.4174354553222656,2.7007765769958496,10.15295524597168,552.798118263483,0.7088712453842163
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,up,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_global_activation,B,activation_projection,global_projection,down,test,2,152,0.2943637818098068,0.33617542684078217,0.3700330317020416,0.01760733332484961,0.10203490033745766,8.479334831237797,334.9086289508268,0.0
B16_g32_global_activation,B,activation_projection,global_projection,down,test,3,152,0.1730487108230591,0.19705037027597427,0.21282217800617217,0.006884479662403464,0.03759361058473587,3.0412437677383437,123.01221476588398,0.6289868354797363
B16_g32_global_activation,B,activation_projection,global_projection,down,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_global_activation,B,activation_projection,global_projection,down,train,2,258,0.2591446667909622,0.32203350961208344,0.35757491290569304,0.019342825934290885,0.09240303933620453,7.614559888839725,565.081785756629,0.0
B16_g32_global_activation,B,activation_projection,global_projection,down,train,3,258,0.15885291993618011,0.19360026717185974,0.21019767075777054,0.006783305574208498,0.03346692584455013,2.982979440689089,213.13461558427662,0.614580899477005
