projection,method,physical_budget_bpw,invocations,requests,mean,ci_low,ci_high,median,p10,p25,p75,p90,p95,p99,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
down,random,0.5,400,16,0.09810553732460489,0.08405821876735274,0.11199276016877353,0.11498893601123572,-0.09786326155597619,0.025186160408317837,0.18858644990809884,0.2696045659676262,0.3152881257541063,0.3868079561688023,0.0,0.0,0.0,0.0
down,random,1.0,400,16,0.17721472201215477,0.16725364422741368,0.18857337031321927,0.19822041606371554,-0.06122746936893386,0.07056019523194443,0.30236516522228774,0.39228176621291694,0.4377103713369306,0.5295627764159982,0.0,0.0,0.0,0.0
down,two_view_oracle,0.1,400,16,0.17926966474199188,0.1486003255295993,0.2115545186970451,0.13094048589412605,-0.06398713407821088,0.014810512259546521,0.30815876657402075,0.5231252152180037,0.6368316506671852,0.7993595961456109,0.01,0.0075,0.0,0.0
down,two_view_oracle,0.2,400,16,0.21590209703492555,0.18631077895631523,0.2533261096469555,0.17422501885793285,-0.0653502540798349,0.04617135081039231,0.34051988198160155,0.6116143656204093,0.7046081255902321,0.850789196183382,0.02,0.0075,0.0025,0.0
down,two_view_oracle,0.5,400,16,0.31250419446656624,0.2691872565947702,0.35541331467606274,0.27687761746334827,-0.014968717481602632,0.12230133597343906,0.49672926689881364,0.7308353044890603,0.8612781777741115,0.9222142330655724,0.0625,0.0325,0.005,0.0
down,two_view_oracle,1.0,400,16,0.3976090483899066,0.3612091347905815,0.4451550022975091,0.38297404490978904,0.052511139073843006,0.21378516672160444,0.5862834427062138,0.8053490649509659,0.8976402996827244,0.9564502719870295,0.11,0.0475,0.015,0.0
gate,generalized,0.1,400,16,0.5581403976215097,0.5223663013338538,0.5944347099917849,0.5618527269408972,0.3280117834418838,0.4268683734600224,0.717120737290336,0.7803930759655829,0.8083042083589435,0.8566401105012035,0.0675,0.005,0.0,0.0
gate,generalized,0.2,400,16,0.6061337721673746,0.5678441116134827,0.6470880055381013,0.6146784442751636,0.3601482061934315,0.4697097252876896,0.7662051981902158,0.8348794072593415,0.8727705968177507,0.9014386838369384,0.1725,0.0125,0.0,0.0
gate,generalized,0.5,400,16,0.6758133327114046,0.6391921940357584,0.7157898072369051,0.6868959856622241,0.4333272853455685,0.5429253033767909,0.8290503602763597,0.9095969220718907,0.9315847235551626,0.9469578798180484,0.31,0.1225,0.005,0.0
gate,generalized,1.0,400,16,0.7266040973867373,0.693229333430223,0.7658040058995639,0.7344299894688052,0.48903608642116037,0.6009391302280912,0.8747580400877779,0.9488355934510617,0.9631421104175552,0.9713281026196793,0.375,0.21,0.0975,0.0
gate,learned_s11,0.1,400,16,0.5090989250779692,0.4770026924377485,0.5396048924430937,0.5066207693035671,0.28797908388365745,0.38707515883650184,0.6621481515182384,0.73161134724847,0.7736917500936485,0.8092602407431659,0.0225,0.0,0.0,0.0
gate,learned_s11,0.2,400,16,0.5667457015297388,0.5335915406487203,0.600614251618064,0.5594292111080845,0.333824804821949,0.43844517562649427,0.7262096507721163,0.7853969016284091,0.8233442132435083,0.8720245135500287,0.085,0.0025,0.0,0.0
gate,learned_s11,0.5,400,16,0.6427594498701481,0.6095229499676762,0.679176921571818,0.6475522849888592,0.3962234138381845,0.5039737428028972,0.7911840859696819,0.8667346298658188,0.8997935294627087,0.9248208871647582,0.2325,0.05,0.0025,0.0
gate,learned_s11,1.0,400,16,0.698214859583567,0.6637011006264486,0.7346473275826636,0.7064314529560874,0.466317307615842,0.5622098218321845,0.8486038399942508,0.9242628013451861,0.9427189666002279,0.963776073419407,0.34,0.145,0.0425,0.0
gate,learned_s29,0.1,400,16,0.5129189945632526,0.48399619644176756,0.54416099573256,0.5121454525992253,0.29246870254018625,0.39348921281816396,0.6491838161792649,0.7368377695135686,0.7634895349169909,0.8159022469263404,0.0225,0.0,0.0,0.0
gate,learned_s29,0.2,400,16,0.5701022757189808,0.5366709645866906,0.6040732159314945,0.5724032239138948,0.34382430581203766,0.440182127084083,0.7193388188540498,0.7814894402200884,0.8114018083529931,0.8481991681938494,0.0725,0.0,0.0,0.0
gate,learned_s29,0.5,400,16,0.6465678669912305,0.6108015473490154,0.6830849686923011,0.6547847658184056,0.40620772405280753,0.5098594155708183,0.7945129834907717,0.8693736679954329,0.889696558572945,0.9181861021325555,0.2425,0.0275,0.0,0.0
gate,learned_s29,1.0,400,16,0.7027457436263649,0.6674066557878036,0.742035064955833,0.7054796978821922,0.4664490014524391,0.5672064240936023,0.8497590210104565,0.9238901009082966,0.9370861175778139,0.9563865021786094,0.3425,0.1625,0.0225,0.0
gate,learned_s47,0.1,400,16,0.5083480505752577,0.4755645869594106,0.5375874005666573,0.5119137121447741,0.28320066597859395,0.400614215769409,0.6465606160806627,0.7200187418211368,0.7584145369281459,0.8098500628003799,0.0175,0.0,0.0,0.0
gate,learned_s47,0.2,400,16,0.566898255709731,0.5299810247035955,0.603217330085162,0.5667446460714722,0.3395803860067348,0.44231057217175307,0.7181383000808782,0.776426244195102,0.8160385998124075,0.8561635911736447,0.07,0.0,0.0,0.0
