resident_base,method,budget_bpw,invocations,requests,mean_recovery,mean_ci_low,mean_ci_high,median_recovery,median_ci_low,median_ci_high,p10_recovery,p90_recovery,p95_damage_fraction,p99_damage_fraction,relative_output_error_median,actual_physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
Q2_2.250488bpw,all_generalized,0.25,167,16,0.4583008468340453,0.3982103062700647,0.5136732004416098,0.41888059760383767,0.35312010825211004,0.505393139228036,0.21156363901005662,0.7919872607481091,0.8188209055564775,0.8642008744259118,0.4503202438354492,0.22916666666666666,0.09375,0.1875,0.46875,0.10179640718562874,0.005988023952095809,0.0,0.0
Q2_2.250488bpw,all_generalized,0.5,167,16,0.5553107767656057,0.4925778824325789,0.6100310533149413,0.528688086234343,0.4532913858759251,0.6052253737557611,0.31403846175382893,0.8735519858716116,0.7469254879040552,0.8289941902768434,0.41557079553604126,0.4791666666666667,0.1875,0.1875,0.75,0.17964071856287425,0.07784431137724551,0.011976047904191617,0.0
Q2_2.250488bpw,all_generalized,0.75,167,16,0.6173376150699889,0.5561638239351592,0.6693009689651525,0.6089607521526657,0.5361251574752485,0.6736334188551967,0.361690374280014,0.9167810382770308,0.6688031085879462,0.789376936059371,0.38452646136283875,0.7291666666666666,0.25,0.5,1.25,0.23353293413173654,0.11976047904191617,0.03592814371257485,0.0
Q2_2.250488bpw,all_generalized,1.0,167,16,0.6647384463831049,0.6063205002336247,0.7126717415367059,0.6671336296144219,0.5922866106902933,0.7234964306044219,0.41334046647253736,0.9404131812749922,0.6196946478035582,0.7137237843448545,0.35672613978385925,0.9791666666666666,0.5,0.5,1.5,0.2754491017964072,0.16167664670658682,0.08982035928143713,0.0
Q2_2.250488bpw,all_generalized,1.25,167,16,0.7002454060439331,0.6476775669027618,0.7484522201713911,0.6911056082690878,0.630599010946722,0.7582123802562749,0.4667848239409408,0.9513593815330781,0.5691137281632437,0.6977444755781624,0.3392774760723114,1.2291666666666667,0.5,0.75,2.0,0.32335329341317365,0.20958083832335328,0.11377245508982035,0.0
Q2_2.250488bpw,all_generalized,1.5,167,16,0.7427587284468545,0.6945402032249879,0.7893862723228458,0.7540147060470546,0.6756254903393499,0.8052868755867733,0.5172530737923801,0.9663097781185123,0.5044093301102934,0.589549731107959,0.3242795169353485,1.4895833333333333,0.5,0.75,2.96875,0.39520958083832336,0.23952095808383234,0.1377245508982036,0.011976047904191617
Q2_2.250488bpw,all_generalized,2.0,167,16,0.7913884848713751,0.7435468748457947,0.835283022726734,0.7991289484715174,0.7317291510596515,0.8604444950028984,0.5879670598263497,0.9784566944723989,0.4494422745553452,0.5242610616740333,0.285673052072525,1.9895833333333333,1.25,1.25,3.0,0.49700598802395207,0.30538922155688625,0.20359281437125748,0.023952095808383235
Q2_2.250488bpw,all_generalized,2.5,167,16,0.8293899265864141,0.7870271906234017,0.8664399918271086,0.8396270773864214,0.7725283809298621,0.9000830943660895,0.6526631535731509,0.9847506904617742,0.3902818849354672,0.44192372815028436,0.2537387013435364,2.4166666666666665,2.0,1.5,4.0,0.5568862275449101,0.3772455089820359,0.2634730538922156,0.05389221556886228
Q2_2.250488bpw,all_generalized,3.0,167,16,0.8557103108171975,0.8189809648587583,0.8899662315793337,0.8718218018927678,0.8074019790345494,0.9231931912348585,0.7042324152941374,0.9882381126198204,0.3361145564975445,0.4085135982365229,0.23065578937530518,2.9166666666666665,2.5,2.5,4.0,0.6407185628742516,0.4311377245508982,0.30538922155688625,0.08982035928143713
Q2_2.250488bpw,all_generalized,4.0,167,16,0.8838470311453372,0.8530715310076982,0.914211748304594,0.8978460896904242,0.8613706946256807,0.9342265998280292,0.7605991288484835,0.9902322503341258,0.2974355328700398,0.37793277207112314,0.195527583360672,3.6666666666666665,4.0,4.0,4.0,0.8143712574850299,0.49700598802395207,0.32934131736526945,0.10179640718562874
