layer,method,budget_bpw,invocations,recovery_median,recovery_p10,relative_error_median,physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median
39,all_native,1.0,60,0.43396046914119896,0.31887061870524575,0.7024332880973816,0.953125,0.5,0.484375,1.25
39,all_native,1.25,60,0.46935648942650093,0.33731743018884014,0.6855259835720062,1.2239583333333335,0.984375,0.609375,1.5
39,all_native,1.5,60,0.5269387264763145,0.41201616415938863,0.6609366536140442,1.4791666666666667,0.875,0.75,1.5
39,all_native,2.0,60,0.5906309334750779,0.43490088010739897,0.6080417633056641,1.9895833333333333,1.484375,1.25,2.0
39,all_native,2.5,60,0.6399802771238545,0.5118412937015495,0.5746688842773438,2.4166666666666665,2.5,1.5,2.96875
39,all_native,3.0,60,0.6897897440621616,0.5187480598848235,0.5316486656665802,2.953125,4.0,3.0,3.0
39,all_native,4.0,60,0.7276484757518634,0.5589094484141706,0.46748246252536774,3.828125,4.0,4.0,4.0
39,all_pca,0.0,60,0.0,0.0,0.8304605782032013,0.0,0.0,0.0,0.0
39,all_pca,0.25,60,0.4489836563803605,0.16176755472374563,0.7114541232585907,0.22916666666666666,0.1875,0.1875,0.28125
39,all_pca,0.5,60,0.5141468222880572,0.23580589382833853,0.6799177825450897,0.4791666666666667,0.1875,0.1875,0.96875
39,all_pca,0.75,60,0.5609126281958996,0.2991358244523396,0.6540378928184509,0.7291666666666666,0.234375,0.375,1.25
39,all_pca,1.0,60,0.6232024547324935,0.353498612679197,0.617990642786026,0.9635416666666667,0.28125,0.46875,1.984375
39,all_pca,1.25,60,0.6568977852519351,0.3941702016092482,0.5951505303382874,1.21875,0.5,0.5,2.5
39,all_pca,1.5,60,0.6774373695755054,0.44264950047174756,0.5683141648769379,1.4322916666666665,0.75,0.5,2.5
39,all_pca,2.0,60,0.7089834600272611,0.48573259997195184,0.5386368930339813,1.9270833333333333,1.0,1.25,3.0
39,all_pca,2.5,60,0.743546846446353,0.5520693460471823,0.5034097731113434,2.4166666666666665,1.5,2.0,3.96875
39,all_pca,3.0,60,0.7600143795509902,0.5899086928398923,0.43936243653297424,2.8333333333333335,2.75,2.5,4.0
39,all_pca,4.0,60,0.8162702888356165,0.6581858652180529,0.41137251257896423,3.65625,4.0,3.5,4.0
39,generalized_generalized_native,0.0,60,0.0,0.0,0.8304605782032013,0.0,0.0,0.0,0.0
39,generalized_generalized_native,0.25,60,0.44638758713540533,0.19669871195782426,0.7214890420436859,0.23958333333333334,0.1875,0.09375,0.28125
39,generalized_generalized_native,0.5,60,0.5156621429967309,0.3030459769541469,0.6793729960918427,0.4791666666666667,0.28125,0.1875,0.734375
39,generalized_generalized_native,0.75,60,0.5737078564554099,0.34638163755316764,0.6290825605392456,0.71875,0.5,0.265625,1.21875
39,generalized_generalized_native,1.0,60,0.6142511792997578,0.40928748473677823,0.6020701229572296,0.9791666666666666,0.609375,0.5,1.5
39,generalized_generalized_native,1.25,60,0.6390402883752593,0.4381836705703624,0.5846208035945892,1.1979166666666667,0.75,0.5,2.0
39,generalized_generalized_native,1.5,60,0.6576903800087466,0.479552027824607,0.5436913073062897,1.4583333333333333,0.75,0.5,2.5
39,generalized_generalized_native,2.0,60,0.7322018458467765,0.5535112897065464,0.4922478049993515,1.9166666666666667,1.484375,1.0,2.5
39,generalized_generalized_native,2.5,60,0.7552254712174596,0.5805943191509505,0.4600211828947067,2.4895833333333335,2.0,2.0,3.0
39,generalized_generalized_native,3.0,60,0.7845498058981073,0.6329982796872139,0.4170994907617569,2.984375,3.0,2.5,3.96875
39,generalized_generalized_native,4.0,60,0.8334683476968632,0.6630402268307828,0.3867815285921097,3.5,4.0,4.0,4.0
39,global_multi_view_oracle,0.0,60,0.0,0.0,0.8304605782032013,0.0,0.0,0.0,0.0
